Year,SDG Series,Type of product,Unit of measure,Observation-level footnotes,COMMENT_OBS,BASE_PER,Base period,Value
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01739
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01273
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01092
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01903
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.00941
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01264
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01197
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.0132
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01001
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.00962
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.2317
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.27656
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.28991
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.29506
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.26835
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.33444
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.20984
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.59713
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.63658
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.51976
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.4445
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.29425
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.26124
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.11343
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,2.00499
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,1.96945
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,1.86553
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,1.73447
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,1.70091
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,,,2015,2015,1.6475
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.44321
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.47126
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.46353
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.45334
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.4369
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.48912
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.48617
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.45052
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.45406
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.4895
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.46039
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.42014
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.44303
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.4237
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.40711
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.41095
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.36097
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.36175
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.33863
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,,,2015,2015,0.3278
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.3733
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.43484
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.4119
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.42905
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.40159
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.44105
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.44694
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.39438
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.35536
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.34942
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.40601
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.3644
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.40194
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.36884
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.3275
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.3414
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.27802
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.26447
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.28076
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,,,2015,2015,0.27118
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.95476
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.92916
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.97372
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.98037
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,1.01432
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.93879
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.82202
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,1.32672
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,1.40228
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,1.27008
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,1.19678
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,1.14879
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,1.07513
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.99801
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.96181
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.92502
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.95102
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.84527
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.83368
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,,,2015,2015,0.81271
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.4539
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.43635
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.43724
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.42896
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.41176
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.46116
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.44979
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.42172
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.42114
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.40738
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.37788
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.35683
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.33773
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.31976
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.30523
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.28898
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.27288
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.26066
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.24563
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,,,2015,2015,0.23369
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00653
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00495
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00352
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00332
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00378
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00433
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00493
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00379
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00374
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00339
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00344
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00409
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00341
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00313
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00333
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.0031
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00265
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00232
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00221
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,,,2015,2015,0.00211
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.03369
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.04136
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.04356
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.03826
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.02403
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.01985
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.01737
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.05537
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.01498
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.02918
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.0439
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.02465
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.04516
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.04869
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.00824
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.0293
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.02223
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.02556
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.02111
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,,,2015,2015,0.02142
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.00752
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.00985
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.01409
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.0093
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.01233
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.00777
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.0093
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.01026
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.0095
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.01303
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.01248
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.00474
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.00279
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.02436
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,Obs_Value = 0;  ,2015,2015,0.0
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.02446
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.02229
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.01961
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.01558
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,Obs_Value = 0;  ,,2015,2015,0.01487
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.02617
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.03151
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.02947
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.02896
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.01169
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.01208
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.00807
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.04511
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.00547
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.01615
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.03142
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.0199
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.04237
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.02433
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.00824
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.00484
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,-5e-05
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.00595
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.00552
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,,,2015,2015,0.00655
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,,,2015,2015,1.27708
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,,,2015,2015,1.19862
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,,,2015,2015,0.33042
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,,,2015,2015,0.24768
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,,,2015,2015,0.28562
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,,,2015,2015,0.38039
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,,,2015,2015,0.40076
